index,id,sentiment,price,early_access,genre_Sports,genre_Simulation,genre_Early Access,genre_Video Production,genre_Software Training,genre_Web Publishing,genre_Audio Production,genre_RPG,genre_Photo Editing,genre_Design &amp; Illustration,genre_Casual,genre_Massively Multiplayer,genre_Accounting,genre_Racing,genre_Adventure,genre_Strategy,genre_Animation &amp; Modeling,genre_Free to Play,genre_Indie,genre_Education,genre_Action,genre_Utilities,spec_Online Multi-Player,spec_Room-Scale,spec_Mods,spec_HTC Vive,spec_Keyboard / Mouse,spec_Commentary available,spec_Steam Workshop,spec_SteamVR Collectibles,spec_Oculus Rift,spec_Mods (require HL2),spec_MMO,spec_Seated,spec_Stats,spec_Windows Mixed Reality,spec_Includes Source SDK,spec_Co-op,spec_Tracked Motion Controllers,spec_Game demo,spec_Single-player,spec_Steam Leaderboards,spec_Steam Trading Cards,spec_Local Multi-Player,spec_Downloadable Content,spec_Includes level editor,spec_Partial Controller Support,spec_Standing,spec_In-App Purchases,spec_Gamepad,spec_Local Co-op,spec_Full controller support,spec_Valve Anti-Cheat enabled,spec_Captions available,spec_Steam Achievements,spec_Steam Cloud,spec_Cross-Platform Multiplayer,spec_Online Co-op,spec_Mods (require HL1),spec_Multi-player,spec_Shared/Split Screen,spec_Steam Turn Notifications
1,3061,5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2,2019,5,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,10834,4,3.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,6827,7,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,3583,8,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33,1559,5,0.99,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12658,4,0.99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,10419,5,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,10282,7,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,962,7,9.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
